gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol	entrez	ensgene	description	entrez_final
6358	838.9517913784836	-2.548953717062921	0.23666286401688608	4.652600506742288e-28	7.673242242517938e-26	CCL14	6358	ENSG00000276409	C-C motif chemokine ligand 14	6358
2250	3022.3058966154413	-3.1716811342701186	0.30031953339263195	1.1713439624314819e-27	1.8839276737916585e-25	FGF5	2250	ENSG00000138675	fibroblast growth factor 5	2250
2407	741.7989858983243	-1.6465091811213675	0.15538184923218465	4.84637597615922e-27	7.48534308508211e-25	FRA6G	2407	NA	fragile site, aphidicolin type, common, fra(6)(q15)	2407
2869	1213.5119199265453	-1.4912094490477434	0.14630393037849734	2.765647333862888e-25	3.686456353719566e-23	GRK5	2869	ENSG00000198873	G protein-coupled receptor kinase 5	2869
9574	419.7340148105689	-2.854653431260888	0.28302363018373283	3.994056600079866e-25	5.2876418703506306e-23	NA	9574	NA	NA	9574
9776	265.9200456081633	-2.548663459832632	0.25360321735092944	4.873760601961636e-25	6.408665883430771e-23	ATG13	9776	ENSG00000175224	autophagy related 13	9776
11720	106.86232383308459	-2.181392993352488	0.21586012333217047	6.261279393575678e-25	8.177903240159482e-23	NA	11720	NA	NA	11720
10684	199.48705172095083	-3.672439633484933	0.3726330335552746	1.5702107194695695e-24	1.9588378725382879e-22	NA	10684	NA	NA	10684
6982	557.7518620603915	-2.9552048661616763	0.30440230580035277	3.681114147462784e-24	4.505544806526619e-22	TRGV8	6982	ENSG00000211696	T cell receptor gamma variable 8	6982
806	3405.1853021988336	-2.2489537448039156	0.2322560451701663	1.3021783019998402e-23	1.5740181326222914e-21	CALM2P2	806	NA	calmodulin 2 pseudogene 2	806
9789	306.25739506530095	-2.6828596080724596	0.28007643999755116	4.2464156469025653e-23	4.832719000255603e-21	SPCS2	9789	ENSG00000118363	signal peptidase complex subunit 2	9789
5622	875.7308660399855	-1.2310446469918979	0.1268543323794418	6.993859973176148e-23	7.822270628619598e-21	NA	5622	NA	NA	5622
9806	332.55483537887767	-1.6192516508935118	0.16815369789672072	1.0763785779194752e-22	1.170246005859827e-20	SPOCK2	9806	ENSG00000107742	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2	9806
1780	2623.821928124988	-1.0010293857590884	0.10373467405752267	1.7614097014387899e-22	1.8938560331326127e-20	DYNC1I1	1780	ENSG00000158560	dynein cytoplasmic 1 intermediate chain 1	1780
359	4300.091597658983	-1.5640794392605757	0.16433649206535828	2.646543753974217e-22	2.784020972761743e-20	AQP2	359	ENSG00000167580	aquaporin 2	359
1490	1925.642126531501	-1.0413034431364623	0.10861238197900203	3.005022727388483e-22	3.144126198801466e-20	CCN2	1490	ENSG00000118523	cellular communication network factor 2	1490
1508	1486.9045104170702	-2.1687333761994343	0.23166753186069156	3.883497440880424e-22	4.0200395583496774e-20	CTSB	1508	ENSG00000164733	cathepsin B	1508
11257	166.30914352077997	-3.5783004315185787	0.3873238021529142	4.248332417827865e-22	4.351410378070952e-20	TP53TG1	11257	ENSG00000182165	TP53 target 1	11257
10720	193.48844197161804	-2.0323353886702664	0.2159701367322437	4.594026557208988e-22	4.680856064389744e-20	UGT2B11	10720	ENSG00000213759	UDP glucuronosyltransferase family 2 member B11	10720
4333	1186.0146418159616	-1.7423189536671635	0.18742269291735034	1.3786625463905597e-21	1.32822533739142e-19	NA	4333	NA	NA	4333
2608	1177.75457190861	-1.1946293451949985	0.12721664129458143	1.5133927333289638e-21	1.443732156044851e-19	NA	2608	NA	NA	2608
7736	477.44968661038035	-1.688548441786948	0.18071671195235395	1.5682170483446868e-21	1.488735218431022e-19	NA	7736	NA	NA	7736
7898	671.8330095246056	-2.6041095376104515	0.2811956219493838	1.6721893409593918e-21	1.5721003267831268e-19	NA	7898	NA	NA	7898
5410	941.6392204831843	-1.4086220530433233	0.1510637184996036	1.9283109459998348e-21	1.8041759288510954e-19	NA	5410	NA	NA	5410
177	14658.055833145821	-1.0813682300281744	0.11536011928193694	2.1741075412738147e-21	2.0147765171776053e-19	AGER	177	ENSG00000204305	advanced glycosylation end-product specific receptor	177
9204	206.78633318009838	-1.8195408698238762	0.19618721697987868	2.2143731420431304e-21	2.0357586796785346e-19	ZMYM6	9204	ENSG00000163867	zinc finger MYM-type containing 6	9204
4360	1165.2273632708568	-1.847052798245694	0.20086194889144812	3.516979840959759e-21	3.1834392876705984e-19	MRC1	4360	ENSG00000260314	mannose receptor C-type 1	4360
1383	2904.0559060044293	-1.101800779221549	0.11914166782364295	1.8307379433656132e-20	1.5096606405016186e-18	NA	1383	NA	NA	1383
8990	304.5210110340888	-1.2873354199785656	0.14132610758742015	2.045455240447861e-20	1.6796035626310476e-18	NA	8990	NA	NA	8990
7331	360.14585636200314	-1.21739877110919	0.13460270644309394	4.371879588842984e-20	3.515749945391459e-18	NA	7331	NA	NA	7331
730	4076.1700408564448	-1.1914679748700487	0.13275100842878174	4.594365065045077e-20	3.679462490981162e-18	C7	730	ENSG00000112936	complement C7	730
11147	95.72509817763007	-2.242515153178099	0.251399349661265	5.709000486172735e-20	4.553395838582278e-18	ANKRD13C-DT	11147	ENSG00000197568	ANKRD13C divergent transcript	11147
632	2911.7443189143705	-1.120956301395735	0.12478185050856405	7.261460278978014e-20	5.6981967132738355e-18	BGLAP	632	ENSG00000242252	bone gamma-carboxyglutamate protein	632
6056	494.8346438131981	-1.2416046852138407	0.1386791733665914	8.775006774216019e-20	6.858249270402328e-18	RNR5	6056	NA	RNA, ribosomal 45S cluster 5	6056
8523	305.7352335094273	-1.858640642054971	0.21011269716623066	1.0664028449143896e-19	8.202871843825667e-18	NA	8523	NA	NA	8523
5666	961.1471501234637	-2.082479050242559	0.23816965497199918	1.1765444085803855e-19	9.01446091944208e-18	NA	5666	NA	NA	5666
9775	388.098696113784	-3.3646288531254855	0.38334861318987806	1.246754027673325e-19	9.514933385313952e-18	EIF4A3	9775	ENSG00000141543	eukaryotic translation initiation factor 4A3	9775
5797	805.5666363287004	-2.3553816568971855	0.2724501745794804	1.3329341021205251e-19	1.0054352930762613e-17	PTPRM	5797	ENSG00000173482	protein tyrosine phosphatase receptor type M	5797
9296	338.46413646083874	-1.4849970541805737	0.1676280390365692	1.3852663586689093e-19	1.0408752357550441e-17	ATP6V1F	9296	ENSG00000128524	ATPase H+ transporting V1 subunit F	9296
3838	1525.6432109190812	-1.0449796752079352	0.11856952432864441	2.6006219844052824e-19	1.9317062762790535e-17	KPNA2	3838	ENSG00000182481	karyopherin subunit alpha 2	3838
813	122.63885408571925	-2.658400973204416	0.30607661728739155	2.679038884610087e-19	1.9823869100150914e-17	CALU	813	ENSG00000128595	calumenin	813
4366	590.0296682547895	-1.6470411350007372	0.18763107696100503	2.8708730037032265e-19	2.1162901335253218e-17	NA	4366	NA	NA	4366
4538	1619.549180887203	-1.6849813717087332	0.1931871278932248	4.416294941759221e-19	3.231034430886324e-17	ND4	4538	ENSG00000198886	NADH dehydrogenase subunit 4	4538
5300	897.5456638234588	-1.432249895520064	0.16401884503876	4.808868309280048e-19	3.491992021152948e-17	PIN1	5300	ENSG00000127445	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	5300
9906	236.23414031497424	-1.6770008550821989	0.19239670005907528	4.873988251173945e-19	3.526122132196883e-17	SLC35E2A	9906	NA	solute carrier family 35 member E2A (pseudogene)	9906
6963	552.32276260432	-1.433316332835518	0.16630841532644008	1.2964239338745954e-18	9.010609348976252e-17	NA	6963	NA	NA	6963
8999	397.72224480933613	-1.2819192012454577	0.14908614536232967	1.930525942208296e-18	1.3322682752239594e-16	CDKL2	8999	ENSG00000138769	cyclin dependent kinase like 2	8999
225	5252.169922998104	-1.0121559544999723	0.11744800391801521	2.3812253792730325e-18	1.6317263065504396e-16	ABCD2	225	ENSG00000173208	ATP binding cassette subfamily D member 2	225
1403	514.1583817775435	-1.9994345665776474	0.23510407226573346	2.494776104808672e-18	1.7035381675677743e-16	NA	1403	NA	NA	1403
7633	709.1779154853405	-3.0654182304527415	0.3632678968878172	2.7815151303849012e-18	1.8730472647896386e-16	ZNF79	7633	ENSG00000196152	zinc finger protein 79	7633
9117	315.69308238796754	-1.5179981007158871	0.18226720419103207	1.5881662252067065e-17	9.874537670526427e-16	SEC22C	9117	ENSG00000093183	SEC22 homolog C, vesicle trafficking protein	9117
7758	523.7505474966212	-1.5339621752249575	0.184980813483936	1.6153832930696553e-17	1.001177524408553e-15	NA	7758	NA	NA	7758
2826	1399.1932991204417	-1.1931139183655228	0.14278697002310173	1.7658853981573105e-17	1.0840976572094454e-15	CCR10	2826	ENSG00000184451	C-C motif chemokine receptor 10	2826
6895	330.8944161501293	-1.761306469487198	0.2144708741341072	2.0643537912299578e-17	1.255449660347694e-15	TARBP2	6895	ENSG00000139546	TARBP2 subunit of RISC loading complex	6895
5252	1018.8540270575495	-1.9097351279336012	0.2341870690575478	2.2417447639722073e-17	1.3548631941510286e-15	PHF1	5252	ENSG00000112511	PHD finger protein 1	5252
9453	397.5138030166118	-2.0080074030741035	0.24414658724000227	2.5195675155960236e-17	1.513373562376982e-15	GGPS1	9453	ENSG00000152904	geranylgeranyl diphosphate synthase 1	9453
11439	119.76370946888572	-1.521989372968128	0.1848739180171693	3.421720275043845e-17	2.0489261006962544e-15	NA	11439	NA	NA	11439
10481	222.5542438138676	-2.512663630675592	0.30961944734339164	4.240641235998201e-17	2.5237651099009475e-15	HOXB13	10481	ENSG00000159184	homeobox B13	10481
442	6504.216849293656	-1.1406296946314582	0.13816140221641415	4.385687025815946e-17	2.594220523082192e-15	ASNSP2	442	NA	ASNS pseudogene 2	442
6822	583.4209392441433	-1.588239610136161	0.1941315216304129	4.629027298961765e-17	2.7298636443968155e-15	SULT2A1	6822	ENSG00000105398	sulfotransferase family 2A member 1	6822
3197	1097.7764940372072	-1.137843089847417	0.13780062496857742	4.651977367376498e-17	2.73264188362045e-15	HOXA@	3197	NA	homeobox A cluster	3197
10277	154.1470234975582	-2.8077450396694354	0.34621242165216387	4.7491608352939814e-17	2.7754780485182035e-15	UBE4B	10277	ENSG00000130939	ubiquitination factor E4B	10277
8678	477.3248774807439	-1.0145899757921892	0.12271782344812131	4.91980782842546e-17	2.8665982080535295e-15	BECN1	8678	ENSG00000126581	beclin 1	8678
10753	137.5404115486166	-2.2232789979024243	0.27451814307672595	5.519377643677636e-17	3.1685135198705156e-15	CAPN9	10753	ENSG00000135773	calpain 9	10753
12544	96.31153552632463	-2.916090369277088	0.36454884543439264	7.338516599577508e-17	4.188119400128384e-15	NA	12544	NA	NA	12544
5553	759.3698482988365	-1.1150785636841245	0.13628079935025372	7.89005292197952e-17	4.489716956568522e-15	PRG2	5553	ENSG00000186652	proteoglycan 2, pro eosinophil major basic protein	5553
7773	410.75828692798206	-2.156559388655812	0.2719479205515539	9.184001361759444e-17	5.195635188988388e-15	ZNF230	7773	ENSG00000159882	zinc finger protein 230	7773
4439	858.2037179635358	-1.1199522717596428	0.1371889365437454	9.547704680229112e-17	5.3546939706610594e-15	MSH5	4439	ENSG00000204410	mutS homolog 5	4439
5055	556.3674133740875	-1.441500396928287	0.17864445348769728	1.1507194724862196e-16	6.435101050015609e-15	SERPINB2	5055	ENSG00000197632	serpin family B member 2	5055
5842	627.9982911253388	-1.745253329240488	0.21828528809769832	1.2780938906588107e-16	7.0661889790088396e-15	NA	5842	NA	NA	5842
8983	167.4936481372461	-1.6082486141728212	0.19966470973705933	1.3846280938872559e-16	7.633497828651525e-15	NA	8983	NA	NA	8983
10402	218.33684601804262	-1.7896185067401134	0.224186963390403	1.6704864743125602e-16	9.131836313650768e-15	ST3GAL6	10402	ENSG00000064225	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	10402
9609	93.75219687810393	-2.2403852196751823	0.282707220446636	2.3217023255498606e-16	1.248139473964802e-14	RAB36	9609	ENSG00000100228	RAB36, member RAS oncogene family	9609
8544	318.44217052324313	-1.3961637213848355	0.1746424030511703	2.739124550448483e-16	1.45645089825896e-14	PIR	8544	ENSG00000087842	pirin	8544
4792	969.9820227991505	-1.0868256674185366	0.13525407174834572	2.857281186877611e-16	1.5069254519735824e-14	NFKBIA	4792	ENSG00000100906	NFKB inhibitor alpha	4792
284	8064.957028950883	-1.365038186405981	0.17241954076950564	3.907475133778445e-16	2.0386963425861214e-14	ANGPT1	284	ENSG00000154188	angiopoietin 1	284
11112	133.1341886414487	-1.7077723172854948	0.21633521238527842	4.4115082156152904e-16	2.2893963035757112e-14	HIBADH	11112	ENSG00000106049	3-hydroxyisobutyrate dehydrogenase	11112
11689	122.45365693237261	-2.1475628346712488	0.2744785007981308	4.584431555904835e-16	2.3728091092942554e-14	NA	11689	NA	NA	11689
7618	426.66199534540783	-1.350759796541675	0.17057035389475234	4.657584720378222e-16	2.4042773539331715e-14	ZNF726P1	7618	NA	zinc finger protein 726 pseudogene 1	7618
12822	44.54852831253055	-2.918914059102594	0.37239951908468766	4.881203679080089e-16	2.513045100491471e-14	NA	12822	NA	NA	12822
5702	638.2075269140719	-1.5487010696666628	0.19664233764819805	5.019256290406748e-16	2.5773020228919716e-14	PSMC3	5702	ENSG00000165916	proteasome 26S subunit, ATPase 3	5702
7402	341.58012456156433	-1.2647342066907747	0.1603187803065959	7.061704281068719e-16	3.560306399323273e-14	UTRN	7402	ENSG00000152818	utrophin	7402
10386	99.05577174093904	-2.0577245805641913	0.26523136357838817	7.506864759200188e-16	3.76523440924729e-14	MHW1	10386	NA	Mental health wellness 1	10386
4133	740.682049578767	-1.0003758912070555	0.1261201968281477	7.941267378244088e-16	3.972879291722576e-14	MAP2	4133	ENSG00000078018	microtubule associated protein 2	4133
9794	274.6640892265277	-3.8850441888853355	0.5172415772372454	1.0348607248579535e-15	5.0985884978381344e-14	MAML1	9794	ENSG00000161021	mastermind like transcriptional coactivator 1	9794
12809	83.15727274133222	-2.972955859703398	0.38478354083050204	1.0504766048219285e-15	5.162455860212008e-14	NA	12809	NA	NA	12809
9373	243.9518705361194	-1.864821483450313	0.24199796421024378	1.0928690814989232e-15	5.3572607544207916e-14	PLAA	9373	ENSG00000137055	phospholipase A2 activating protein	9373
7224	320.7557827935677	-1.5412567896425273	0.1978848910085813	1.118063295604962e-15	5.4669924109970255e-14	TRPC5	7224	ENSG00000072315	transient receptor potential cation channel subfamily C member 5	7224
3899	1171.1326601142944	-1.0792978112544993	0.13731333544651378	1.1825282467015606e-15	5.767714839363176e-14	AFF3	3899	ENSG00000144218	ALF transcription elongation factor 3	3899
9466	270.855958560273	-3.2796642147764765	0.4300512520262479	1.3316103214893707e-15	6.430389197643832e-14	IL27RA	9466	ENSG00000104998	interleukin 27 receptor subunit alpha	9466
10185	226.40954015070923	-1.4204399988471803	0.18230356400805942	1.337172936155353e-15	6.441267948148348e-14	NA	10185	NA	NA	10185
12	87309.66026797831	-1.081265997501076	0.1368543418104205	1.63689505603014e-15	7.84621051364595e-14	SERPINA3	12	ENSG00000196136	serpin family A member 3	12
8495	493.611059773207	-1.2480549352560368	0.1602053722928521	1.7645649142298816e-15	8.416715146036207e-14	PPFIBP2	8495	ENSG00000166387	PPFIA binding protein 2	8495
3762	1247.7583052438818	-3.519196594953795	0.4666495492130025	2.445982544461505e-15	1.1553705412078967e-13	KCNJ5	3762	ENSG00000120457	potassium inwardly rectifying channel subfamily J member 5	3762
10849	212.76328584661448	-3.448115810258669	0.4559292593771251	2.882593287518826e-15	1.3550277287054076e-13	POLR1G	10849	ENSG00000117877	RNA polymerase I subunit G	10849
6585	437.97133321930596	-1.2012186047398754	0.15601465813218068	3.0505990368793815e-15	1.4271083619401357e-13	SLIT1	6585	ENSG00000187122	slit guidance ligand 1	6585
2084	1357.1909160525377	-1.1835771941066302	0.15356212472065156	3.105982678801445e-15	1.4495330674377679e-13	NA	2084	NA	NA	2084
9135	100.28361994520596	-2.006723796781409	0.26441647135901614	3.151132494733877e-15	1.4635844744633884e-13	RABEP1	9135	ENSG00000029725	rabaptin, RAB GTPase binding effector protein 1	9135
8133	201.8096376671756	-2.7102837375526936	0.36468078541095456	3.647422601667637e-15	1.6701762647306796e-13	NA	8133	NA	NA	8133
7395	593.2567962128496	-2.0705826591600354	0.2784916046407988	4.333908269513083e-15	1.970611888621358e-13	NA	7395	NA	NA	7395
6704	716.112463040308	-1.2900698517167206	0.16904206762151877	5.462243332345543e-15	2.4721097090878284e-13	SPRR2E	6704	ENSG00000203785	small proline rich protein 2E	6704
7781	499.2882603353266	-2.7031216218030414	0.3625858137674162	7.564707565330997e-15	3.392091565182178e-13	SLC30A3	7781	ENSG00000115194	solute carrier family 30 member 3	7781
5495	333.8231631308427	-1.529579946825497	0.2027854276803886	8.280780213307243e-15	3.6961528378709233e-13	PPM1B	5495	ENSG00000138032	protein phosphatase, Mg2+/Mn2+ dependent 1B	5495
5780	773.2149790022984	-1.0781537868775612	0.142337169841905	1.0905913410320763e-14	4.790970222985381e-13	PTPN9	5780	ENSG00000169410	protein tyrosine phosphatase non-receptor type 9	5780
12014	41.10464114971221	-2.447243990375922	0.32851222211690495	1.1073120072976918e-14	4.853468237391978e-13	NA	12014	NA	NA	12014
8784	321.34203284368095	-2.1283499046900216	0.29151177488042695	1.1270545332613031e-14	4.928900735235555e-13	TNFRSF18	8784	ENSG00000186891	TNF receptor superfamily member 18	8784
5401	1205.65724263681	-2.307120251954673	0.3108304270427771	1.170378440483148e-14	5.106891217543172e-13	NA	5401	NA	NA	5401
8	93281.727282518	-1.0103327006393734	0.13334395807993468	1.2318426544241277e-14	5.351091495033024e-13	NA	8	NA	NA	8
5411	374.7192226822253	-1.2757647097104106	0.168924587838134	1.2623892268444005e-14	5.471571657821577e-13	PNN	5411	ENSG00000100941	pinin, desmosome associated protein	5411
4004	1357.0280900464577	-1.906788345118904	0.26233242412778174	1.8636310244219063e-14	7.953535825937439e-13	LMO1	4004	ENSG00000166407	LIM domain only 1	4004
13228	44.42026845711461	-3.5235762433232876	0.48032455198447827	2.1648107019873342e-14	9.138694375569526e-13	NA	13228	NA	NA	13228
8297	286.01123513418986	-1.1301226185074502	0.1510658710274621	2.2392287209675933e-14	9.432387475919985e-13	NA	8297	NA	NA	8297
7448	419.57468532951236	-1.3126670581284678	0.17685286148937276	2.40764884681772e-14	1.0076398754391322e-12	VTN	7448	ENSG00000109072	vitronectin	7448
9075	271.31028868951745	-1.1379130758745395	0.1523916140827363	2.4752351231430287e-14	1.0316567246851039e-12	CLDN2	9075	ENSG00000165376	claudin 2	9075
7240	585.9153818652926	-2.1356651998207377	0.3007262780041173	3.3940814537124306e-14	1.3994114231080003e-12	TRV-CAC1-2	7240	NA	tRNA-Val (anticodon CAC) 1-2	7240
6652	342.5514343936381	-2.70921728094703	0.38926821349820934	3.5044115469286056e-14	1.4357758550479493e-12	SORD	6652	ENSG00000140263	sorbitol dehydrogenase	6652
9	86012.12111441103	-1.3075915035380994	0.17705469157679304	3.526494005941152e-14	1.4417878119668225e-12	NAT1	9	ENSG00000171428	N-acetyltransferase 1	9
5506	952.8291313025235	-1.1469494619082934	0.15544653184773335	3.708262569357053e-14	1.5129244834854844e-12	PPP1R3A	5506	ENSG00000154415	protein phosphatase 1 regulatory subunit 3A	5506
5648	639.6573533195813	-1.276772832210926	0.17371483855512512	4.6648203683705397e-14	1.8834454188559975e-12	MASP1	5648	ENSG00000127241	MBL associated serine protease 1	5648
3041	765.4130748731019	-1.436167505017831	0.19679388517654342	5.006695982791884e-14	2.0147753976182802e-12	HBAP1	3041	ENSG00000225323	hemoglobin subunit alpha pseudogene 1	3041
10863	184.21572944979437	-2.347340614968867	0.3274498821954123	6.393943726457309e-14	2.549847107798887e-12	ADAM28	10863	ENSG00000042980	ADAM metallopeptidase domain 28	10863
6686	615.0337151117395	-1.3050058100025377	0.18066558253507803	9.345266841099383e-14	3.696508902329981e-12	NA	6686	NA	NA	6686
12429	53.620671664006814	-2.220108158269011	0.3102312233415035	9.91943182643384e-14	3.915660502519857e-12	NA	12429	NA	NA	12429
10881	127.76249049548473	-1.6287811401141408	0.22633659202174494	1.016057417138194e-13	3.99464513028816e-12	ACTL7A	10881	ENSG00000187003	actin like 7A	10881
7639	658.5721393513938	-1.7677492529954675	0.24956960703756004	1.1259750710967595e-13	4.391302777277362e-12	ZNF85	7639	ENSG00000105750	zinc finger protein 85	7639
11993	128.6602523212932	-1.9292997108059051	0.2700105317737335	1.2193660472658779e-13	4.7460165291682496e-12	NA	11993	NA	NA	11993
9001	283.2761287116673	-1.3648546485364075	0.18964337997479475	1.4797725559888047e-13	5.713859863511534e-12	HAP1	9001	ENSG00000173805	huntingtin associated protein 1	9001
7398	238.88449942443145	-1.8033805807936127	0.2534858968929178	1.7867717260839223e-13	6.872008806584825e-12	USP1	7398	ENSG00000162607	ubiquitin specific peptidase 1	7398
3799	559.2340845429868	-1.2886635007589071	0.18034417659896151	1.8631732420289602e-13	7.151718829018856e-12	KIF5B	3799	ENSG00000170759	kinesin family member 5B	3799
2560	2240.8942633237443	-1.894103720582358	0.2696281179135586	2.3666092435859015e-13	8.995426267465865e-12	GABRB1	2560	ENSG00000163288	gamma-aminobutyric acid type A receptor subunit beta1	2560
3621	1301.8273987447226	-1.429141211201863	0.20329227754940732	2.6950540459254397e-13	1.0184164424806793e-11	ING1	3621	ENSG00000153487	inhibitor of growth family member 1	3621
11590	129.49842294660195	-3.0829201870736713	0.4441045414836418	3.2699763138509486e-13	1.2214397129338446e-11	NA	11590	NA	NA	11590
2771	1365.6650667419365	-2.151591773594222	0.3147264106566569	3.4211483941345895e-13	1.27302043782511e-11	GNAI2	2771	ENSG00000114353	G protein subunit alpha i2	2771
13870	42.941663690814686	-2.729915832817111	0.39377401217887265	4.192114540351051e-13	1.533619020898689e-11	NA	13870	NA	NA	13870
11267	119.69705722076785	-2.024939052609327	0.2967324580057974	5.897981984915227e-13	2.1334689109374578e-11	SNF8	11267	ENSG00000159210	SNF8 subunit of ESCRT-II	11267
10467	219.11773468807326	-1.4696278684504496	0.21126203329387575	6.879667930479647e-13	2.4747729684854788e-11	ZNHIT1	10467	ENSG00000106400	zinc finger HIT-type containing 1	10467
12407	73.10519601562127	-1.852924818561277	0.26934543797834926	7.564741350311574e-13	2.7111865822912252e-11	NA	12407	NA	NA	12407
8938	450.4992321745245	-1.6323909501464733	0.23808394554292883	7.924847512003781e-13	2.8350267910129703e-11	BAIAP3	8938	ENSG00000007516	BAI1 associated protein 3	8938
8837	332.1311565727424	-1.67459417427739	0.24479629358036661	9.901963420801734e-13	3.484667452662252e-11	CFLAR	8837	ENSG00000003402	CASP8 and FADD like apoptosis regulator	8837
9435	356.25727334095245	-2.0510075147051956	0.3016795792567547	1.0236189222292267e-12	3.595784809657578e-11	CHST2	9435	ENSG00000175040	carbohydrate sulfotransferase 2	9435
7561	635.7795382923124	-2.2468448825490364	0.3296840176859599	1.0515666372206953e-12	3.6873042030544054e-11	ZNF14	7561	ENSG00000105708	zinc finger protein 14	7561
11917	110.70230597863981	-2.684196546668283	0.4100972782042945	1.1671776394595985e-12	4.070688896330331e-11	NA	11917	NA	NA	11917
324	6527.010641492891	-1.7125682367670636	0.25314948367909695	1.2233961054549078e-12	4.2515199300460646e-11	APC	324	ENSG00000134982	APC regulator of WNT signaling pathway	324
11	83023.38793952933	-3.104211956955119	0.49390560928076516	1.3027640233217316e-12	4.5032132607218865e-11	NATP	11	NA	N-acetyltransferase pseudogene	11
6200	146.82416186291448	-2.2195772216590806	0.32795641938924025	1.3454163762351954e-12	4.630654713908992e-11	NA	6200	NA	NA	6200
8502	505.88063713932274	-2.1985286954931933	0.3345366043493752	1.5286335650662834e-12	5.2374538397455875e-11	PKP4	8502	ENSG00000144283	plakophilin 4	8502
10267	133.53920095954243	-1.3012812335224486	0.1900364155842473	1.8047618276271274e-12	6.108255639556786e-11	RAMP1	10267	ENSG00000132329	receptor activity modifying protein 1	10267
